date,year,month,employment_ratio_monthly,employment_ratio_annual
2010-06-01,2010,6,50.72208333333333,50.745
2010-07-01,2010,7,50.7175,50.745
2010-08-01,2010,8,50.712916666666665,50.745
2010-09-01,2010,9,50.70833333333333,50.745
2010-10-01,2010,10,50.70375,50.745
2010-11-01,2010,11,50.69916666666666,50.745
2010-12-01,2010,12,50.694583333333334,50.745
2011-01-01,2011,1,50.69,50.69
2011-02-01,2011,2,50.67666666666666,50.69
2011-03-01,2011,3,50.663333333333334,50.69
2011-04-01,2011,4,50.65,50.69
2011-05-01,2011,5,50.63666666666666,50.69
2011-06-01,2011,6,50.623333333333335,50.69
2011-07-01,2011,7,50.61,50.69
2011-08-01,2011,8,50.596666666666664,50.69
2011-09-01,2011,9,50.583333333333336,50.69
2011-10-01,2011,10,50.57,50.69
2011-11-01,2011,11,50.556666666666665,50.69
2011-12-01,2011,12,50.54333333333334,50.69
2012-01-01,2012,1,50.53,50.53
2012-02-01,2012,2,50.47533333333333,50.53
2012-03-01,2012,3,50.42066666666667,50.53
2012-04-01,2012,4,50.366,50.53
2012-05-01,2012,5,50.31133333333334,50.53
2012-06-01,2012,6,50.25666666666667,50.53
2012-07-01,2012,7,50.202,50.53
2012-08-01,2012,8,50.147333333333336,50.53
2012-09-01,2012,9,50.092666666666666,50.53
2012-10-01,2012,10,50.038000000000004,50.53
2012-11-01,2012,11,49.983333333333334,50.53
2012-12-01,2012,12,49.92866666666667,50.53
2013-01-01,2013,1,49.874,49.874
2013-02-01,2013,2,49.839,49.874
2013-03-01,2013,3,49.804,49.874
2013-04-01,2013,4,49.769000000000005,49.874
2013-05-01,2013,5,49.734,49.874
2013-06-01,2013,6,49.699,49.874
2013-07-01,2013,7,49.664,49.874
2013-08-01,2013,8,49.629,49.874
2013-09-01,2013,9,49.594,49.874
2013-10-01,2013,10,49.559,49.874
2013-11-01,2013,11,49.524,49.874
2013-12-01,2013,12,49.489000000000004,49.874
2014-01-01,2014,1,49.454,49.454
2014-02-01,2014,2,49.60308333333333,49.454
2014-03-01,2014,3,49.75216666666667,49.454
2014-04-01,2014,4,49.901250000000005,49.454
2014-05-01,2014,5,50.050333333333334,49.454
2014-06-01,2014,6,50.199416666666664,49.454
2014-07-01,2014,7,50.3485,49.454
2014-08-01,2014,8,50.49758333333334,49.454
2014-09-01,2014,9,50.64666666666667,49.454
2014-10-01,2014,10,50.79575,49.454
2014-11-01,2014,11,50.944833333333335,49.454
2014-12-01,2014,12,51.09391666666667,49.454
2015-01-01,2015,1,51.243,51.243
2015-02-01,2015,2,51.25991666666667,51.243
2015-03-01,2015,3,51.276833333333336,51.243
2015-04-01,2015,4,51.29375,51.243
2015-05-01,2015,5,51.31066666666667,51.243
2015-06-01,2015,6,51.32758333333334,51.243
2015-07-01,2015,7,51.3445,51.243
2015-08-01,2015,8,51.36141666666666,51.243
2015-09-01,2015,9,51.37833333333333,51.243
2015-10-01,2015,10,51.39525,51.243
2015-11-01,2015,11,51.412166666666664,51.243
2015-12-01,2015,12,51.42908333333333,51.243
2016-01-01,2016,1,51.446,51.446
2016-02-01,2016,2,51.476083333333335,51.446
2016-03-01,2016,3,51.506166666666665,51.446
2016-04-01,2016,4,51.536249999999995,51.446
2016-05-01,2016,5,51.56633333333333,51.446
2016-06-01,2016,6,51.59641666666667,51.446
2016-07-01,2016,7,51.6265,51.446
2016-08-01,2016,8,51.65658333333333,51.446
2016-09-01,2016,9,51.68666666666667,51.446
2016-10-01,2016,10,51.716750000000005,51.446
2016-11-01,2016,11,51.746833333333335,51.446
2016-12-01,2016,12,51.776916666666665,51.446
2017-01-01,2017,1,51.807,51.807
2017-02-01,2017,2,51.61375,51.807
2017-03-01,2017,3,51.420500000000004,51.807
2017-04-01,2017,4,51.22725,51.807
2017-05-01,2017,5,51.034,51.807
2017-06-01,2017,6,50.84075,51.807
2017-07-01,2017,7,50.6475,51.807
2017-08-01,2017,8,50.45425,51.807
2017-09-01,2017,9,50.261,51.807
2017-10-01,2017,10,50.067750000000004,51.807
2017-11-01,2017,11,49.8745,51.807
2017-12-01,2017,12,49.68125,51.807
2018-01-01,2018,1,49.488,49.488
2018-02-01,2018,2,49.51475,49.488
2018-03-01,2018,3,49.5415,49.488
2018-04-01,2018,4,49.56825,49.488
2018-05-01,2018,5,49.595,49.488
2018-06-01,2018,6,49.62175,49.488
2018-07-01,2018,7,49.6485,49.488
2018-08-01,2018,8,49.67525,49.488
2018-09-01,2018,9,49.702,49.488
2018-10-01,2018,10,49.72875,49.488
2018-11-01,2018,11,49.7555,49.488
2018-12-01,2018,12,49.78225,49.488
2019-01-01,2019,1,49.809,49.809
2019-02-01,2019,2,49.64041666666667,49.809
2019-03-01,2019,3,49.47183333333333,49.809
2019-04-01,2019,4,49.30325,49.809
2019-05-01,2019,5,49.13466666666667,49.809
2019-06-01,2019,6,48.96608333333333,49.809
2019-07-01,2019,7,48.7975,49.809
2019-08-01,2019,8,48.62891666666667,49.809
2019-09-01,2019,9,48.46033333333333,49.809
2019-10-01,2019,10,48.29175,49.809
2019-11-01,2019,11,48.12316666666667,49.809
2019-12-01,2019,12,47.95458333333333,49.809
2020-01-01,2020,1,47.786,47.786
2020-02-01,2020,2,47.75,47.786
2020-03-01,2020,3,47.714,47.786
2020-04-01,2020,4,47.678,47.786
2020-05-01,2020,5,47.642,47.786
2020-06-01,2020,6,47.606,47.786
2020-07-01,2020,7,47.57,47.786
2020-08-01,2020,8,47.534,47.786
2020-09-01,2020,9,47.498,47.786
2020-10-01,2020,10,47.462,47.786
2020-11-01,2020,11,47.426,47.786
2020-12-01,2020,12,47.39,47.786
2021-01-01,2021,1,47.354,47.354
2021-02-01,2021,2,47.36416666666666,47.354
2021-03-01,2021,3,47.37433333333333,47.354
2021-04-01,2021,4,47.3845,47.354
2021-05-01,2021,5,47.394666666666666,47.354
2021-06-01,2021,6,47.40483333333333,47.354
2021-07-01,2021,7,47.415,47.354
2021-08-01,2021,8,47.42516666666667,47.354
2021-09-01,2021,9,47.43533333333333,47.354
2021-10-01,2021,10,47.445499999999996,47.354
2021-11-01,2021,11,47.455666666666666,47.354
2021-12-01,2021,12,47.465833333333336,47.354
2022-01-01,2022,1,47.476,47.476
2022-02-01,2022,2,47.29083333333333,47.476
2022-03-01,2022,3,47.105666666666664,47.476
2022-04-01,2022,4,46.9205,47.476
2022-05-01,2022,5,46.73533333333333,47.476
2022-06-01,2022,6,46.55016666666666,47.476
2022-07-01,2022,7,46.364999999999995,47.476
2022-08-01,2022,8,46.179833333333335,47.476
2022-09-01,2022,9,45.99466666666667,47.476
2022-10-01,2022,10,45.8095,47.476
2022-11-01,2022,11,45.62433333333333,47.476
2022-12-01,2022,12,45.439166666666665,47.476
2023-01-01,2023,1,45.254,45.254
2023-02-01,2023,2,45.36116666666666,45.254
2023-03-01,2023,3,45.468333333333334,45.254
2023-04-01,2023,4,45.5755,45.254
2023-05-01,2023,5,45.68266666666666,45.254
2023-06-01,2023,6,45.789833333333334,45.254
2023-07-01,2023,7,45.897,45.254
2023-08-01,2023,8,46.00416666666666,45.254
2023-09-01,2023,9,46.111333333333334,45.254
2023-10-01,2023,10,46.2185,45.254
2023-11-01,2023,11,46.32566666666666,45.254
2023-12-01,2023,12,46.432833333333335,45.254
2024-01-01,2024,1,46.54,46.54
2024-02-01,2024,2,46.542833333333334,46.54
2024-03-01,2024,3,46.54566666666666,46.54
2024-04-01,2024,4,46.5485,46.54
2024-05-01,2024,5,46.55133333333333,46.54
2024-06-01,2024,6,46.55416666666667,46.54
2024-07-01,2024,7,46.557,46.54
2024-08-01,2024,8,46.55983333333333,46.54
2024-09-01,2024,9,46.562666666666665,46.54
2024-10-01,2024,10,46.5655,46.54
2024-11-01,2024,11,46.56833333333333,46.54
2024-12-01,2024,12,46.57116666666666,46.54
2025-01-01,2025,1,46.574,46.574
2025-02-01,2025,2,46.574,46.574
2025-03-01,2025,3,46.574,46.574
2025-04-01,2025,4,46.574,46.574
2025-05-01,2025,5,46.574,46.574
2025-06-01,2025,6,46.574,46.574
2025-07-01,2025,7,46.574,46.574
2025-08-01,2025,8,46.574,46.574
2025-09-01,2025,9,46.574,46.574
2025-10-01,2025,10,46.574,46.574
2025-11-01,2025,11,46.574,46.574
2025-12-01,2025,12,46.574,46.574
